citing_paper_id,doi,title,year,venue,authors_raw,authors_detail
c7808b1bf495d7104258fbcbf3e26cc0bfcf8628,10.1109/TIP.2020.3008396,Lightening Network for Low-Light Image Enhancement,2020,IEEE Transactions on Image Processing,Li-Wen Wang; Zhi-Song Liu; W. Siu; D. Lun,"[{""id"": ""1837949044"", ""name"": ""Li-Wen Wang"", ""source"": ""s2""}, {""id"": ""3382725"", ""name"": ""Zhi-Song Liu"", ""source"": ""s2""}, {""id"": ""144250750"", ""name"": ""W. Siu"", ""source"": ""s2""}, {""id"": ""1731962"", ""name"": ""D. Lun"", ""source"": ""s2""}]"
38972b708e114552a6d3a9edd151a3d12c1483cb,10.1109/ICME46284.2020.9102816,Learning To See Faces In The Dark,2020,IEEE International Conference on Multimedia and Expo,Xin Ding; R. Hu,"[{""id"": ""1720691712"", ""name"": ""Xin Ding"", ""source"": ""s2""}, {""id"": ""144328091"", ""name"": ""R. Hu"", ""source"": ""s2""}]"
4233c268034f8b409cb5f77794b6ab2b3486a226,10.1109/icme46284.2020.9102962,Zero-Shot Restoration of Underexposed Images via Robust Retinex Decomposition,2020,IEEE International Conference on Multimedia and Expo,Anqi Zhu; Lin Zhang; Ying Shen; Yong Ma; Shengjie Zhao; Yicong Zhou,"[{""id"": ""2054793691"", ""name"": ""Anqi Zhu"", ""source"": ""s2""}, {""id"": ""2143834929"", ""name"": ""Lin Zhang"", ""source"": ""s2""}, {""id"": ""143822680"", ""name"": ""Ying Shen"", ""source"": ""s2""}, {""id"": ""2122482757"", ""name"": ""Yong Ma"", ""source"": ""s2""}, {""id"": ""47601434"", ""name"": ""Shengjie Zhao"", ""source"": ""s2""}, {""id"": ""3049217"", ""name"": ""Yicong Zhou"", ""source"": ""s2""}]"
43c09a9d8a631942371c998eaf606294275bccc8,10.1109/TIP.2021.3125394,Burst Photography for Learning to Enhance Extremely Dark Images,2020,IEEE Transactions on Image Processing,Ahmet Serdar Karadeniz; Erkut Erdem; Aykut Erdem,"[{""id"": ""1486490787"", ""name"": ""Ahmet Serdar Karadeniz"", ""source"": ""s2""}, {""id"": ""152330322"", ""name"": ""Erkut Erdem"", ""source"": ""s2""}, {""id"": ""14364286"", ""name"": ""Aykut Erdem"", ""source"": ""s2""}]"
01a44aede8e6fba7f7d7a520b79b9fc6ec8d89c7,10.1109/cvpr42600.2020.00678,Optical Flow in the Dark,2020,Computer Vision and Pattern Recognition,Yinqiang Zheng; Mingfang Zhang; Feng Lu,"[{""id"": ""2037259"", ""name"": ""Yinqiang Zheng"", ""source"": ""s2""}, {""id"": ""2290240304"", ""name"": ""Mingfang Zhang"", ""source"": ""s2""}, {""id"": ""1388864077"", ""name"": ""Feng Lu"", ""source"": ""s2""}]"
9342a3f3328419a3574ac665d0cf9d264a7f52b5,10.1145/3394171.3413925,Fast Enhancement for Non-Uniform Illumination Images using Light-weight CNNs,2020,ACM Multimedia,Feifan Lv; Bo Liu; Feng Lu,"[{""id"": ""51290122"", ""name"": ""Feifan Lv"", ""source"": ""s2""}, {""id"": null, ""name"": ""Bo Liu"", ""source"": ""s2""}, {""id"": ""1388864077"", ""name"": ""Feng Lu"", ""source"": ""s2""}]"
74f38e6667f52e6104ca65f51fe535df3e0c03ac,10.1109/TPAMI.2020.3045882,Map-Guided Curriculum Domain Adaptation and Uncertainty-Aware Evaluation for Semantic Nighttime Image Segmentation,2020,IEEE Transactions on Pattern Analysis and Machine Intelligence,Christos Sakaridis; Dengxin Dai; L. Van Gool,"[{""id"": ""7593607"", ""name"": ""Christos Sakaridis"", ""source"": ""s2""}, {""id"": ""1778526"", ""name"": ""Dengxin Dai"", ""source"": ""s2""}, {""id"": ""134339866"", ""name"": ""L. Van Gool"", ""source"": ""s2""}]"
6fcccca02671b9e4bd6a832bb8fec49c0da55979,10.1109/TMI.2020.3043495,Modeling and Enhancing Low-Quality Retinal Fundus Images,2020,IEEE Transactions on Medical Imaging,Ziyi Shen; H. Fu; Jianbing Shen; Ling Shao,"[{""id"": ""2182388"", ""name"": ""Ziyi Shen"", ""source"": ""s2""}, {""id"": ""1929093"", ""name"": ""H. Fu"", ""source"": ""s2""}, {""id"": ""145953515"", ""name"": ""Jianbing Shen"", ""source"": ""s2""}, {""id"": ""144082425"", ""name"": ""Ling Shao"", ""source"": ""s2""}]"
b7eedc4671785072a0b444a5bb85ff8fa1ed50a6,,Understanding and Correcting Low-quality Retinal Fundus Images for Clinical Analysis,2020,arXiv.org,Ziyi Shen; H. Fu; Jianbing Shen; Ling Shao,"[{""id"": ""2182388"", ""name"": ""Ziyi Shen"", ""source"": ""s2""}, {""id"": ""1929093"", ""name"": ""H. Fu"", ""source"": ""s2""}, {""id"": ""145953515"", ""name"": ""Jianbing Shen"", ""source"": ""s2""}, {""id"": ""144082425"", ""name"": ""Ling Shao"", ""source"": ""s2""}]"
09118b44e9fdb94e8768b5ae139c1c9a4576d0de,10.1109/ACCESS.2020.2992749,An Experiment-Based Review of Low-Light Image Enhancement Methods,2020,IEEE Access,Wencheng Wang; Xiaojin Wu; Xiaohui Yuan; Zairui Gao,"[{""id"": ""2120372506"", ""name"": ""Wencheng Wang"", ""source"": ""s2""}, {""id"": ""50171677"", ""name"": ""Xiaojin Wu"", ""source"": ""s2""}, {""id"": ""2115844515"", ""name"": ""Xiaohui Yuan"", ""source"": ""s2""}, {""id"": ""2913158"", ""name"": ""Zairui Gao"", ""source"": ""s2""}]"
a3989ae2dec26e111845943605b35a25fa910246,10.1109/ICICCS48265.2020.9120901,Enhancement and Tampering Detection for Surveillance System,2020,International Conference Intelligent Computing and Control Systems,Sunita Sahu; Nirav Motwani; Aakanksha Talreja; Naman Varyomalani; Kunal Kundnani,"[{""id"": ""25617146"", ""name"": ""Sunita Sahu"", ""source"": ""s2""}, {""id"": ""1753741419"", ""name"": ""Nirav Motwani"", ""source"": ""s2""}, {""id"": ""1753741417"", ""name"": ""Aakanksha Talreja"", ""source"": ""s2""}, {""id"": ""1753739110"", ""name"": ""Naman Varyomalani"", ""source"": ""s2""}, {""id"": ""1753739100"", ""name"": ""Kunal Kundnani"", ""source"": ""s2""}]"
f734658a32e3604041cd2d203c7606bcec343806,10.1016/j.ijleo.2020.164260,Color and white balancing in low-light image enhancement,2020,,M. Iqbal; S. Ali; M. Riaz; A. Ghafoor; Attiq Ahmad,"[{""id"": ""1860890327"", ""name"": ""M. Iqbal"", ""source"": ""s2""}, {""id"": ""2197444"", ""name"": ""S. Ali"", ""source"": ""s2""}, {""id"": ""33485006"", ""name"": ""M. Riaz"", ""source"": ""s2""}, {""id"": ""93065262"", ""name"": ""A. Ghafoor"", ""source"": ""s2""}, {""id"": ""9438679"", ""name"": ""Attiq Ahmad"", ""source"": ""s2""}]"
09a1b81906d6aabc19180d2b983ec96c7e20a8e4,10.1109/ACCESS.2020.2988767,Low Light Image Enhancement Network With Attention Mechanism and Retinex Model,2020,IEEE Access,Wei Huang; Yifeng Zhu; Rui Huang,"[{""id"": ""2152491604"", ""name"": ""Wei Huang"", ""source"": ""s2""}, {""id"": ""1390861158"", ""name"": ""Yifeng Zhu"", ""source"": ""s2""}, {""id"": ""2140385915"", ""name"": ""Rui Huang"", ""source"": ""s2""}]"
874f1251353f98bd096cade10848c82907aaa1f9,10.1007/s00371-020-01838-0,Structure revealing of low-light images using wavelet transform based on fractional-order denoising and multiscale decomposition,2020,The Visual Computer,Ziaur Rahman; Yifei Pu; M. Aamir; Samad Wali,"[{""id"": ""145760130"", ""name"": ""Ziaur Rahman"", ""source"": ""s2""}, {""id"": ""7805040"", ""name"": ""Yifei Pu"", ""source"": ""s2""}, {""id"": ""2147469944"", ""name"": ""M. Aamir"", ""source"": ""s2""}, {""id"": ""104452537"", ""name"": ""Samad Wali"", ""source"": ""s2""}]"
75ba306e914aad8f82b27b66ebaacec146e19518,10.1609/AAAI.V34I07.6843,An Integrated Enhancement Solution for 24-hour Colorful Imaging,2020,AAAI Conference on Artificial Intelligence,Feifan Lv; Yinqiang Zheng; Yicheng Li; Feng Lu,"[{""id"": ""51290122"", ""name"": ""Feifan Lv"", ""source"": ""s2""}, {""id"": ""2037259"", ""name"": ""Yinqiang Zheng"", ""source"": ""s2""}, {""id"": ""2155180560"", ""name"": ""Yicheng Li"", ""source"": ""s2""}, {""id"": ""1388864077"", ""name"": ""Feng Lu"", ""source"": ""s2""}]"
cc8826c93dffe1e0118cbe7e04dc8fb243afe001,10.1609/AAAI.V34I07.7013,EEMEFN: Low-Light Image Enhancement via Edge-Enhanced Multi-Exposure Fusion Network,2020,AAAI Conference on Artificial Intelligence,Minfeng Zhu; Pingbo Pan; Wei Chen; Yi Yang,"[{""id"": ""145314938"", ""name"": ""Minfeng Zhu"", ""source"": ""s2""}, {""id"": ""1991108"", ""name"": ""Pingbo Pan"", ""source"": ""s2""}, {""id"": ""2283009"", ""name"": ""Wei Chen"", ""source"": ""s2""}, {""id"": ""2143686040"", ""name"": ""Yi Yang"", ""source"": ""s2""}]"
32d8dd63e74c1f6740a5a6bd37ba8b994e635ea1,,Burst Denoising of Dark Images,2020,arXiv.org,Ahmet Serdar Karadeniz; Erkut Erdem; Aykut Erdem,"[{""id"": ""1486490787"", ""name"": ""Ahmet Serdar Karadeniz"", ""source"": ""s2""}, {""id"": ""152330322"", ""name"": ""Erkut Erdem"", ""source"": ""s2""}, {""id"": ""14364286"", ""name"": ""Aykut Erdem"", ""source"": ""s2""}]"
