author_name,appears_in,affiliation,author_id
Hong Qi,W3091618893,Peking University,https://openalex.org/A5001238406
Yufei Wu,W3091618893,Ningbo University,https://openalex.org/A5101639865
Jiong Zhang,W3091618893,Chinese Academy of Sciences,https://openalex.org/A5083371477
Yitian Zhao,W3091618893,Chinese Academy of Sciences,https://openalex.org/A5057905491
Minfeng Zhu,W2998131124,Zhejiang University,https://openalex.org/A5010441587
Pingbo Pan,W2998131124,University of Technology Sydney,https://openalex.org/A5112496743
Wei Chen,W2998131124,Zhejiang University,https://openalex.org/A5100740616
Yi Yang,W2998131124,University of Technology Sydney,https://openalex.org/A5005421447
Ziyi Shen,W3112383662;W3045184244;W3025469038,Inception Institute of Artificial Intelligence,https://openalex.org/A5040995630
Jianbing Shen,W3112383662;W3045184244;W3025469038,Inception Institute of Artificial Intelligence,https://openalex.org/A5102851352
Ling Shao,W3112383662;W3045184244;W3025469038,Inception Institute of Artificial Intelligence,https://openalex.org/A5082634513
Kui Jiang,W3193296307;W3112479442;W3174605894,Wuhan University,https://openalex.org/A5103140908
Zhongyuan Wang,W3193296307;W3112479442;W3174605894,Wuhan University,https://openalex.org/A5100741750
Peng Yi,W3193296307;W3112479442;W3174605894,Wuhan University,https://openalex.org/A5088371302
Zheng Wang,W3193296307;W3174605894;W3206020549,Wuhan University,https://openalex.org/A5100401164
Xiao Wang,W3193296307,Wuhan University,https://openalex.org/A5101902844
Junjun Jiang,W3193296307;W3112479442,Peng Cheng Laboratory,https://openalex.org/A5087165831
Chia‐Wen Lin,W3193296307;W3174605894;W3206020549,National Tsing Hua University,https://openalex.org/A5051264473
Ziteng Cui,W3204374989;W4393149622,Shanghai Jiao Tong University,https://openalex.org/A5035551115
Guo-Jun Qi,W3204374989,Scope Group (United States),https://openalex.org/A5100766907
Lin Gu,W3204374989,RIKEN Center for Advanced Intelligence Project,https://openalex.org/A5053647594
Shaodi You,W3204374989;W3182700213,University of Amsterdam,https://openalex.org/A5003277535
Zenghui Zhang,W3204374989,Shanghai Jiao Tong University,https://openalex.org/A5059094652
Tatsuya Harada,W3204374989;W4393149622,RIKEN Center for Advanced Intelligence Project,https://openalex.org/A5042711470
Fan Zhang,W3182700213,Beijing Institute of Technology,https://openalex.org/A5100403572
Ying Fu,W3182700213,Beijing Institute of Technology,
Zheng Shen,W3203313153,Wenzhou-Kean University,https://openalex.org/A5022614927
Gaurav Gupta,W3203313153,Wenzhou-Kean University,https://openalex.org/A5101958358
Haiyang Jiang,W2998334235;W4388563176,University of Southern California,https://openalex.org/A5101950812
Yinqiang Zheng,W2998334235;W3035155487;W2997694100;W4312650593;W3023129636,National Institute of Informatics,https://openalex.org/A5100698163
Wenjing Wang,W3093427603;W4399870603,Peking University,https://openalex.org/A5100429487
Ruixing Wang,W3203499574,Chinese University of Hong Kong,https://openalex.org/A5101602319
Xiaogang Xu,W3203499574,Chinese University of Hong Kong,https://openalex.org/A5015910981
Chi‐Wing Fu,W3203499574,Chinese University of Hong Kong,https://openalex.org/A5054382056
Jiangbo Lu,W3203499574,SMART Reading,https://openalex.org/A5084252480
Bei Yu,W3203499574,Chinese University of Hong Kong,https://openalex.org/A5051340429
Jiaya Jia,W3203499574,Chinese University of Hong Kong,https://openalex.org/A5052856441
Shaoliang Yang,W4226157755,Yunnan University,https://openalex.org/A5005108890
Dongming Zhou,W4226157755;W3196373523;W3136908137,Yunnan University,https://openalex.org/A5069672411
Jinde Cao,W4226157755,Yonsei University,https://openalex.org/A5017808266
Yanbu Guo,W4226157755,Zhengzhou University of Light Industry,https://openalex.org/A5040879159
Zhen Han,W3112479442,Wuhan University,https://openalex.org/A5027802291
Tao Lü,W3112479442;W3174605894,Wuhan Institute of Technology,https://openalex.org/A5089404454
Baojin Huang,W3112479442,Wuhan University,https://openalex.org/A5038724255
Linshu Hu,W3113798012,Zhejiang University,https://openalex.org/A5038218327
Mengjiao Qin,W3113798012,Zhejiang University,https://openalex.org/A5009204622
Feng Zhang,W3113798012,Zhejiang University,https://openalex.org/A5100401308
Zhenhong Du,W3113798012,Zhejiang University,https://openalex.org/A5069094261
Renyi Liu,W3113798012,Zhejiang Ocean University,https://openalex.org/A5102930211
Huiyuan Fu,W4386076200;W4390871981;W4403780855,Beijing University of Posts and Telecommunications,https://openalex.org/A5048944835
Wenkai Zheng,W4386076200;W4390871981,Beijing University of Posts and Telecommunications,https://openalex.org/A5100559382
Xiangyu Meng,W4386076200,Beijing University of Posts and Telecommunications,https://openalex.org/A5101743027
Xin Wang,W4386076200;W4403780855,Stony Brook University,https://openalex.org/A5100327844
Chuanming Wang,W4386076200,Beijing University of Posts and Telecommunications,https://openalex.org/A5101705249
Huadóng Ma,W4386076200;W4390871981;W4403780855,Beijing University of Posts and Telecommunications,https://openalex.org/A5100710713
Yadong Xu,W3089954572,Southeast University,https://openalex.org/A5027108424
Cheng Yang,W3089954572,Southeast University,https://openalex.org/A5102004844
Beibei Sun,W3089954572,Southeast University,https://openalex.org/A5100607731
Xiaoan Yan,W3089954572,Nanjing Forestry University,https://openalex.org/A5029523480
Minglong Chen,W3089954572,Jiangsu Province Hospital,https://openalex.org/A5026684550
Yu Guo,W3209369922;W3048737448;W4220824244;W3208240847;W4362564406;W3047627120;W4308079962,Wuhan University of Technology,https://openalex.org/A5037365971
Yuxu Lu,W3209369922;W3048737448;W4220824244;W3208240847;W4362564406;W3047627120;W4308079962,Wuhan University of Technology,https://openalex.org/A5015241563
Ryan Wen Liu,W3209369922;W3048737448;W4220824244;W3208240847;W4362564406;W3047627120;W4308079962,Wuhan University of Technology,https://openalex.org/A5061907283
Xin Jin,W4386065632,Nankai University,https://openalex.org/A5100583903
Zhen Li,W4386065632,Nankai University,https://openalex.org/A5101942240
Zhi Chai,W4386065632,Silicon Technologies (United States),https://openalex.org/A5092674581
Chunxiao Liu,W4289656438,Zhejiang Gongshang University,https://openalex.org/A5035709176
Fanding Wu,W4289656438,Zhejiang Gongshang University,https://openalex.org/A5035117722
Xun Wang,W4289656438,Zhejiang Gongshang University,https://openalex.org/A5106406563
Zhipeng Du,W4402704573,,https://openalex.org/A5104102606
Miaojing Shit,W4402704573,Tongji University,https://openalex.org/A5107507820
Jiankang Deng,W4402704573,Imperial College London,https://openalex.org/A5073110676
Meifang Yang,W3048737448;W3047627120,Wuhan University of Technology,https://openalex.org/A5002646223
Kwok Tai Chui,W3048737448;W3047627120,Hong Kong Metropolitan University,https://openalex.org/A5086102702
Bo Peng,W4285411654,Tianjin University,https://openalex.org/A5061202217
Xuanyu Zhang,W4285411654,Tianjin University,https://openalex.org/A5101414747
Jianjun Lei,W4285411654,Tianjin University,https://openalex.org/A5081490093
Zhe Zhang,W4285411654,Tianjin University,https://openalex.org/A5064700973
Nam Ling,W4285411654,Santa Clara University,https://openalex.org/A5018686979
Qingming Huang,W4285411654;W4385626920,University of Chinese Academy of Sciences,https://openalex.org/A5028597017
Shansi Zhang,W4385236771,University of Hong Kong,https://openalex.org/A5045645936
Nan Meng,W4385236771,Chinese University of Hong Kong,https://openalex.org/A5001473276
Edmund Y. Lam,W4385236771;W3189398023;W3165824405;W3209046234,University of Hong Kong,https://openalex.org/A5008832723
Zia-ur Rahman,W3014431357;W3035296544;W4281737715,Sichuan University,https://openalex.org/A5102023423
Yi‐Fei Pu,W3014431357;W3035296544,Sichuan University,https://openalex.org/A5101890639
Muhammad Aamir,W3014431357;W3035296544,Sichuan University,https://openalex.org/A5039996731
Samad Wali,W3014431357;W3035296544,University of Electronic Science and Technology of China,https://openalex.org/A5030876894
Renjun Wang,W4206993822,Hunan University,https://openalex.org/A5115695391
Bin Jiang,W4206993822,Hunan University,https://openalex.org/A5007360513
Chao Yang,W4206993822,Hunan University,https://openalex.org/A5100604018
Qiao Li,W4206993822,Hunan University,https://openalex.org/A5101440138
Bolin Zhang,W4206993822,Hunan University,https://openalex.org/A5100742249
Yurong Guan,W3035296544;W4281737715,Huanggang Normal University,https://openalex.org/A5060070920
Lin Gu,W4393149622,RIKEN Center for Advanced Intelligence Project,https://openalex.org/A5016680184
Xiao Sun,W4393149622,ShangHai JiAi Genetics & IVF Institute,https://openalex.org/A5088062069
Xianzheng Ma,W4393149622,University of Oxford,https://openalex.org/A5003807275
Yu Qiao,W4393149622,ShangHai JiAi Genetics & IVF Institute,https://openalex.org/A5110593923
Mingfang Zhang,W3035155487,Peng Cheng Laboratory,https://openalex.org/A5100685355
