author_name,appears_in,affiliation,author_id
Zhongjie Ba,W4399374631,Zhejiang University,https://openalex.org/A5072485378
Tianhang Zheng,W4399374631;W4285267503,Zhejiang University,https://openalex.org/A5091687257
Feng Lin,W4399374631,Zhejiang University,https://openalex.org/A5078406349
Li Lü,W4399374631,Zhejiang University,https://openalex.org/A5100658678
Kui Ren,W4399374631;W4285267503,Zhejiang University,https://openalex.org/A5105297718
Kaiping Xue,W4383340358,University of Science and Technology of China,https://openalex.org/A5100688242
Tao Zhang,W4400525135,Beijing Jiaotong University,https://openalex.org/A5100375796
Yanli Yuan,W4400525135,Beijing Institute of Technology,https://openalex.org/A5111922675
Weiting Zhang,W4400525135,Beijing Jiaotong University,https://openalex.org/A5076675337
Wenli Sun,W4387623677,Tongji University,https://openalex.org/A5023045741
Xinyang Jiang,W4387623677,Microsoft Research Asia (China),https://openalex.org/A5011424573
Shuguang Dou,W4387623677,Tongji University,https://openalex.org/A5039546706
Dongsheng Li,W4387623677,Microsoft Research Asia (China),https://openalex.org/A5100440920
Duoqian Miao,W4387623677,Tongji University,https://openalex.org/A5024791074
Cheng Deng,W4387623677,Xidian University,https://openalex.org/A5015874725
Cairong Zhao,W4387623677,Tongji University,https://openalex.org/A5064237960
Qingjie Zhang,W4402264291,Tsinghua University,https://openalex.org/A5100750198
Han Qiu,W4402264291;W4293812146;W4390871881;W3215700529,Tsinghua University,https://openalex.org/A5019692903
Yurui Zhu,W4402698356,University of Science and Technology of China,https://openalex.org/A5101183338
Xueyang Fu,W4402698356,University of Science and Technology of China,https://openalex.org/A5079007635
Qibin Sun,W4402698356,University of Science and Technology of China,https://openalex.org/A5102908901
Zheng-Jun Zha,W4402698356,University of Science and Technology of China,https://openalex.org/A5003217535
Yang Bai,W4404056941,Chengdu University of Information Technology,
Gaojie Xing,W4404056941,Chengdu University of Information Technology,https://openalex.org/A5053775539
Hongyan Wu,W4404056941,Chengdu University of Information Technology,
Zhihong Rao,W4404056941,China Electronics Technology Group Corporation,
Chuan Ma,W4404056941,Chongqing University,https://openalex.org/A5103221383
Xiaolei Liu,W4404056941,China Academy of Engineering Physics,https://openalex.org/A5100442739
Yimin Zhou,W4404056941,Chengdu University of Information Technology,
Jiajia Tang,W4404056941,Chengdu University of Information Technology,
Kaijun Huang,W4404056941,Chengdu University of Information Technology,
Jia-Le Kang,W4404056941,Chengdu University of Information Technology,https://openalex.org/A5000846172
Zhuangzhuang Zhang,W4407127070,Wuhan University,https://openalex.org/A5070361846
Libing Wu,W4407127070,Wuhan University,https://openalex.org/A5108047844
Enshu Wang,W4407127070,Wuhan University,https://openalex.org/A5085805626
Bingyi Liu,W4407127070,Wuhan University of Technology,https://openalex.org/A5086581834
Yichen Li,W4410226390,Huazhong University of Science and Technology,https://openalex.org/A5001225785
Haozhao Wang,W4410226390,Huazhong University of Science and Technology,https://openalex.org/A5027119797
Tianzhe Xiao,W4410226390,Huazhong University of Science and Technology,https://openalex.org/A5061171733
Hong Liu,W4410226390,Huazhong University of Science and Technology,https://openalex.org/A5115595829
Minzhu Tu,W4410226390,Beijing University of Posts and Telecommunications,https://openalex.org/A5111880089
Rui Zhang,W4410226390,Huazhong University of Science and Technology,https://openalex.org/A5100422092
Song Guo,W4410226390,Hong Kong University of Science and Technology,https://openalex.org/A5043464306
Ruixuan Li,W4410226390,Huazhong University of Science and Technology,https://openalex.org/A5039670436
Hong Zhu,W4394896797,Chinese Academy of Sciences,https://openalex.org/A5067232865
Yue Zhao,W4394896797,Chinese Academy of Sciences,https://openalex.org/A5100458078
Kai Chen,W4394896797;W4384948583;W4387185380;W4213079900;W4414603391,Chinese Academy of Sciences,https://openalex.org/A5100437976
Ruofei Wang,W4392903451,Civil Aviation University of China,https://openalex.org/A5029875220
Zongyu Guo,W4392903451,Civil Aviation University of China,https://openalex.org/A5019699241
Rui Huang,W4392903451,Civil Aviation University of China,https://openalex.org/A5022571340
Weixuan Tang,W4405097853,Guangzhou University,https://openalex.org/A5103133635
Jiahao Li,W4405097853,Guangzhou University,
