citing_paper_id,doi,title,year,venue,cites,authors_raw,authors_detail
72040a1cf65787d7236fa49a0550f01ae8c18f0c,10.1109/ICCV51070.2023.01119,SYENet: A Simple Yet Effective Network for Multiple Low-Level Vision Tasks with Real-time Performance on Mobile Device,2023,IEEE International Conference on Computer Vision,14,Weiran Gou;Ziyao Yi;Yan Xiang;Shaoqing Li;Zibin Liu;Dehui Kong;Ke Xu,"[{""author"":{""id"":""2229834485"",""display_name"":""Weiran Gou""},""institutions"":[]},{""author"":{""id"":""9733944"",""display_name"":""Ziyao Yi""},""institutions"":[]},{""author"":{""id"":""2223778244"",""display_name"":""Yan Xiang""},""institutions"":[]},{""author"":{""id"":""2156638692"",""display_name"":""Shaoqing Li""},""institutions"":[]},{""author"":{""id"":""2190291532"",""display_name"":""Zibin Liu""},""institutions"":[]},{""author"":{""id"":""1515883521"",""display_name"":""Dehui Kong""},""institutions"":[]},{""author"":{""id"":""2117101322"",""display_name"":""Ke Xu""},""institutions"":[]}]"
f5ced410680b9a5070e606ea9765581addfebd3d,10.1145/3616013,A Collaborative Learning-based Urban Low-light Small-target Face Image Enhancement Method,2023,ACM transactions on sensor networks,2,Zheng Wu;Kehua Guo;Liwei Wang;Min Hu;Sheng Ren,"[{""author"":{""id"":""2210244397"",""display_name"":""Zheng Wu""},""institutions"":[]},{""author"":{""id"":""1808299"",""display_name"":""Kehua Guo""},""institutions"":[]},{""author"":{""id"":""2210261748"",""display_name"":""Liwei Wang""},""institutions"":[]},{""author"":{""id"":""2093566373"",""display_name"":""Min Hu""},""institutions"":[]},{""author"":{""id"":""2075290131"",""display_name"":""Sheng Ren""},""institutions"":[]}]"
4f90e5d708e3a9c1c02b3fd7af184e9889d813ac,10.1145/3581783.3611933,FastLLVE: Real-Time Low-Light Video Enhancement with Intensity-Aware Look-Up Table,2023,ACM Multimedia,29,Wenhao Li;Guangyang Wu;Wenyi Wang;Peiran Ren;Xiaohong Liu,"[{""author"":{""id"":""2108770289"",""display_name"":""Wenhao Li""},""institutions"":[]},{""author"":{""id"":""153204485"",""display_name"":""Guangyang Wu""},""institutions"":[]},{""author"":{""id"":""47825380"",""display_name"":""Wenyi Wang""},""institutions"":[]},{""author"":{""id"":""3246404"",""display_name"":""Peiran Ren""},""institutions"":[]},{""author"":{""id"":""2211737291"",""display_name"":""Xiaohong Liu""},""institutions"":[]}]"
ba1ad159f8bfa0f9a6b2fe94326c13658e6174d1,10.1007/s00371-023-03039-x,SCDet: decoupling discriminative representation for dark object detection via supervised contrastive learning,2023,The Visual Computer,10,Tongxu Lin;Guoheng Huang;Xiaochen Yuan;Guo Zhong;Xiaocong Huang;Chi-Man Pun,"[{""author"":{""id"":""2220777913"",""display_name"":""Tongxu Lin""},""institutions"":[]},{""author"":{""id"":""2376100"",""display_name"":""Guoheng Huang""},""institutions"":[]},{""author"":{""id"":""2179621872"",""display_name"":""Xiaochen Yuan""},""institutions"":[]},{""author"":{""id"":""2198727784"",""display_name"":""Guo Zhong""},""institutions"":[]},{""author"":{""id"":""2214796301"",""display_name"":""Xiaocong Huang""},""institutions"":[]},{""author"":{""id"":""145956876"",""display_name"":""Chi-Man Pun""},""institutions"":[]}]"
f1cb56a1e715e90e9e5bde84485d5b3f680ea812,10.1109/TIP.2024.3420797,Enhancing Low-Light Light Field Images With a Deep Compensation Unfolding Network,2023,IEEE Transactions on Image Processing,37,Xianqiang Lyu;Junhui Hou,"[{""author"":{""id"":""2004173843"",""display_name"":""Xianqiang Lyu""},""institutions"":[]},{""author"":{""id"":""40630305"",""display_name"":""Junhui Hou""},""institutions"":[]}]"
e464ec8421fcdfb43d6f67a6c3fa0d89b2031164,10.1109/TIP.2023.3301332,Unsupervised Low-Light Video Enhancement With Spatial-Temporal Co-Attention Transformer,2023,IEEE Transactions on Image Processing,23,Xiaoqian Lv;Shengping Zhang;Chenyang Wang;Weigang Zhang;H. Yao;Qingming Huang,"[{""author"":{""id"":""2112411035"",""display_name"":""Xiaoqian Lv""},""institutions"":[]},{""author"":{""id"":""1761159"",""display_name"":""Shengping Zhang""},""institutions"":[]},{""author"":{""id"":""2109502294"",""display_name"":""Chenyang Wang""},""institutions"":[]},{""author"":{""id"":""2108142645"",""display_name"":""Weigang Zhang""},""institutions"":[]},{""author"":{""id"":""1720100"",""display_name"":""H. Yao""},""institutions"":[]},{""author"":{""id"":""1689702"",""display_name"":""Qingming Huang""},""institutions"":[]}]"
6080a62b313bae259b1aef6e600eae9e667e9533,10.1109/MWSCAS57524.2023.10406144,FPGA Implementation of Dehazing Model Based Low-Light Image Enhancement Algorithm,2023,Midwest Symposium on Circuits and Systems,3,Bharat Bhushan Upadhyay;K. Sarawadekar,"[{""author"":{""id"":""2064069612"",""display_name"":""Bharat Bhushan Upadhyay""},""institutions"":[]},{""author"":{""id"":""144633454"",""display_name"":""K. Sarawadekar""},""institutions"":[]}]"
9ef08479be1df9787f6542a860aedfb1e7316e04,10.1016/j.bspc.2023.104874,Non-contact human respiratory rate measurement under dark environments by low-light video enhancement,2023,Biomedical Signal Processing and Control,7,Haipeng Wang;Shuai Zhang,"[{""author"":{""id"":""1897728715"",""display_name"":""Haipeng Wang""},""institutions"":[]},{""author"":{""id"":""2108432177"",""display_name"":""Shuai Zhang""},""institutions"":[]}]"
be2b7423d744749572797026fb3318ffc8021f05,10.48550/arXiv.2308.00591,Visibility Enhancement for Low-light Hazy Scenarios,2023,arXiv.org,0,Chaoqun Zhuang;Yunfei Liu;Sijia Wen;Feng Lu,"[{""author"":{""id"":""101722863"",""display_name"":""Chaoqun Zhuang""},""institutions"":[]},{""author"":{""id"":""47908555"",""display_name"":""Yunfei Liu""},""institutions"":[]},{""author"":{""id"":""2206692"",""display_name"":""Sijia Wen""},""institutions"":[]},{""author"":{""id"":""1388864077"",""display_name"":""Feng Lu""},""institutions"":[]}]"
59b0b38fa068a29c0a8cf1bf9f927196257b2ad2,10.1016/j.cag.2023.08.004,Multi-Resolution Edge-aware Lighting Enhancement Network,2023,Computers & graphics,1,Wenyong Gong;Wenzhu Chen;Zhongwei Yu;Xiaohua Xie,"[{""author"":{""id"":""3307072"",""display_name"":""Wenyong Gong""},""institutions"":[]},{""author"":{""id"":""2109078473"",""display_name"":""Wenzhu Chen""},""institutions"":[]},{""author"":{""id"":""2302530808"",""display_name"":""Zhongwei Yu""},""institutions"":[]},{""author"":{""id"":""46397019"",""display_name"":""Xiaohua Xie""},""institutions"":[]}]"
84cf4cee91148c408593032be37f261214c369fb,10.3390/s23167306,A Zero-Shot Low Light Image Enhancement Method Integrating Gating Mechanism,2023,Italian National Conference on Sensors,5,Junhao Tian;Jianwei Zhang,"[{""author"":{""id"":""2175750276"",""display_name"":""Junhao Tian""},""institutions"":[]},{""author"":{""id"":""36062319"",""display_name"":""Jianwei Zhang""},""institutions"":[]}]"
ba5744f935523e3fa44fa6dc989f1331ca63aa9d,10.3390/e25081201,A Low-Illumination Enhancement Method Based on Structural Layer and Detail Layer,2023,Entropy,1,W. Ge;Le Zhang;Weida Zhan;Jiale Wang;Depeng Zhu;Yang Hong,"[{""author"":{""id"":""2276074860"",""display_name"":""W. Ge""},""institutions"":[]},{""author"":{""id"":""2309294410"",""display_name"":""Le Zhang""},""institutions"":[]},{""author"":{""id"":""2066339511"",""display_name"":""Weida Zhan""},""institutions"":[]},{""author"":{""id"":""2109656315"",""display_name"":""Jiale Wang""},""institutions"":[]},{""author"":{""id"":""32402125"",""display_name"":""Depeng Zhu""},""institutions"":[]},{""author"":{""id"":""2194028417"",""display_name"":""Yang Hong""},""institutions"":[]}]"
239a9ab24ee6de059b84a72b7e0fc21ef98181a7,10.1145/3603165.3607375,MoEnlight: Energy-efficient and self-adaptive Low-light Video Stream Enhancement on Mobile Devices,2023,ACM Turing Celebration Conference,0,Sicong Liu;Xiaocheng Li;Zimu Zhou;Bin Guo;Yuan Xu;Zhiwen Yu,"[{""author"":{""id"":""2155857286"",""display_name"":""Sicong Liu""},""institutions"":[]},{""author"":{""id"":""2181651024"",""display_name"":""Xiaocheng Li""},""institutions"":[]},{""author"":{""id"":""2246189563"",""display_name"":""Zimu Zhou""},""institutions"":[]},{""author"":{""id"":""2209648697"",""display_name"":""Bin Guo""},""institutions"":[]},{""author"":{""id"":""2145139708"",""display_name"":""Yuan Xu""},""institutions"":[]},{""author"":{""id"":""2256618"",""display_name"":""Zhiwen Yu""},""institutions"":[]}]"
d7ccab17a627d32d090c0af4823d6f2e1ce35038,10.1007/s11042-023-16207-x,Unevenly illuminated image distortion correction using brightness perception and chromatic luminance,2023,Multimedia tools and applications,5,Manish Kumar;A. Bhandari;Manvi Jha,"[{""author"":{""id"":""2166624481"",""display_name"":""Manish Kumar""},""institutions"":[]},{""author"":{""id"":""2019243"",""display_name"":""A. Bhandari""},""institutions"":[]},{""author"":{""id"":""2131301990"",""display_name"":""Manvi Jha""},""institutions"":[]}]"
d7f4f1935faa3d4f5d98103efd0a2a215d79a030,10.23919/CCC58697.2023.10240033,A Modern Physical GAN for Unsupervised Low-Light Image Enhancement via Illumination Estimation,2023,Cybersecurity and Cyberforensics Conference,1,Tong Liu;Wenda Xu;Yufeng Liu;Siyuan Liu;Xiaolu Chen,"[{""author"":{""id"":""2243379302"",""display_name"":""Tong Liu""},""institutions"":[]},{""author"":{""id"":""2298880547"",""display_name"":""Wenda Xu""},""institutions"":[]},{""author"":{""id"":""2108845271"",""display_name"":""Yufeng Liu""},""institutions"":[]},{""author"":{""id"":""2243428378"",""display_name"":""Siyuan Liu""},""institutions"":[]},{""author"":{""id"":""2292664333"",""display_name"":""Xiaolu Chen""},""institutions"":[]}]"
eaeed27b6be6886649b3fd5f06085020b9fa031b,10.48550/arXiv.2307.10953,PE-YOLO: Pyramid Enhancement Network for Dark Object Detection,2023,International Conference on Artificial Neural Networks,110,Xi Yin;Zhen Yu;Zetao Fei;Wen Lv;Xinchen Gao,"[{""author"":{""id"":""2147421661"",""display_name"":""Xi Yin""},""institutions"":[]},{""author"":{""id"":""143884267"",""display_name"":""Zhen Yu""},""institutions"":[]},{""author"":{""id"":""2151381542"",""display_name"":""Zetao Fei""},""institutions"":[]},{""author"":{""id"":""2184812353"",""display_name"":""Wen Lv""},""institutions"":[]},{""author"":{""id"":""2156258152"",""display_name"":""Xinchen Gao""},""institutions"":[]}]"
a2dd0ce5e61161e008d36b1b56c4a12842a8c70e,10.48550/arXiv.2307.09104,Division Gets Better: Learning Brightness-Aware and Detail-Sensitive Representations for Low-Light Image Enhancement,2023,Knowledge-Based Systems,43,Huake Wang;Xiaoyang Yan;Xingsong Hou;Junhui Li;Yujie Dun;Kaibing Zhang,"[{""author"":{""id"":""153469646"",""display_name"":""Huake Wang""},""institutions"":[]},{""author"":{""id"":""2223950230"",""display_name"":""Xiaoyang Yan""},""institutions"":[]},{""author"":{""id"":""1837363"",""display_name"":""Xingsong Hou""},""institutions"":[]},{""author"":{""id"":""2144510593"",""display_name"":""Junhui Li""},""institutions"":[]},{""author"":{""id"":""3126881"",""display_name"":""Yujie Dun""},""institutions"":[]},{""author"":{""id"":""1723685"",""display_name"":""Kaibing Zhang""},""institutions"":[]}]"
df224376c4514ea5f781a4aa104a297054347d23,10.3390/electronics12143089,Research on Improved YOLOv5 for Low-Light Environment Object Detection,2023,Electronics,70,Junchang Wang;Peng Yang;Yuansheng Liu;Duo Shang;Xin Hui;Jinho Song;Xuehui Chen,"[{""author"":{""id"":""2031695"",""display_name"":""Junchang Wang""},""institutions"":[]},{""author"":{""id"":""2292940288"",""display_name"":""Peng Yang""},""institutions"":[]},{""author"":{""id"":""2143862667"",""display_name"":""Yuansheng Liu""},""institutions"":[]},{""author"":{""id"":""2223787717"",""display_name"":""Duo Shang""},""institutions"":[]},{""author"":{""id"":""2223781491"",""display_name"":""Xin Hui""},""institutions"":[]},{""author"":{""id"":""2223880555"",""display_name"":""Jinho Song""},""institutions"":[]},{""author"":{""id"":""2199252142"",""display_name"":""Xuehui Chen""},""institutions"":[]}]"
00aa073b0eec68863a81fbd114886c28efa42f1b,10.1109/ICCV51070.2023.01143,ExposureDiffusion: Learning to Expose for Low-light Image Enhancement,2023,IEEE International Conference on Computer Vision,86,Yufei Wang;Yi Yu;Wenhan Yang;Lanqing Guo;Lap-Pui Chau;A. Kot;B. Wen,"[{""author"":{""id"":""2108111745"",""display_name"":""Yufei Wang""},""institutions"":[]},{""author"":{""id"":""2182655452"",""display_name"":""Yi Yu""},""institutions"":[]},{""author"":{""id"":""1898172"",""display_name"":""Wenhan Yang""},""institutions"":[]},{""author"":{""id"":""13559584"",""display_name"":""Lanqing Guo""},""institutions"":[]},{""author"":{""id"":""145662587"",""display_name"":""Lap-Pui Chau""},""institutions"":[]},{""author"":{""id"":""1711097"",""display_name"":""A. Kot""},""institutions"":[]},{""author"":{""id"":""1766554"",""display_name"":""B. Wen""},""institutions"":[]}]"
2c13ce79922126d33eeab1a40c1e15c8a9d89c2d,10.3390/app13148148,Improved Retinex-Theory-Based Low-Light Image Enhancement Algorithm,2023,Applied Sciences,16,Jiarui Wang;Han-jiao Wang;Yu Sun;Jie Yang,"[{""author"":{""id"":""2295270986"",""display_name"":""Jiarui Wang""},""institutions"":[]},{""author"":{""id"":""2334436201"",""display_name"":""Han-jiao Wang""},""institutions"":[]},{""author"":{""id"":""2168600643"",""display_name"":""Yu Sun""},""institutions"":[]},{""author"":{""id"":""34463165"",""display_name"":""Jie Yang""},""institutions"":[]}]"
